me.txt(968): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435272][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(969): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435277][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(970): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435281][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(971): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435285][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(973): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435314][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(974): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435318][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(975): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435322][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(976): 12-23 12:04:50.135 I/kernel  (  567): [ 1898.435325][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(978): 12-23 12:04:50.137 I/kernel  (  567): [ 1898.436566][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(979): 12-23 12:04:50.137 I/kernel  (  567): [ 1898.436571][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(980): 12-23 12:04:50.137 I/kernel  (  567): [ 1898.436575][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(981): 12-23 12:04:50.137 I/kernel  (  567): [ 1898.436579][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(983): 12-23 12:04:50.139 I/kernel  (  567): [ 1898.439393][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(987): 12-23 12:04:50.163 I/kernel  (  567): [ 1898.463229][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(994): 12-23 12:04:50.190 I/kernel  (  567): [ 1898.489793][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(1086): 12-23 12:04:50.259 E/RENDER  (  612): _MI_RENDER_ProcessGamma[22415] Failed to _MI_RENDER_ParseGammaJsonStr
me.txt(1088): 12-23 12:04:50.259 E/RENDER  (  612): [ERROR]_MI_RENDER_ProcessGamma[22451] <<< FAIL, RET: 18
me.txt(1089): 12-23 12:04:50.259 E/RENDER  (  612): MI_RENDER_SetGlobalPq[31960] Failed to _MI_RENDER_ProcessPqGamma
me.txt(1090): 12-23 12:04:50.259 E/RENDER  (  612): [ERROR]_MI_RENDER_GRAPHIC_ParseGain[584] <<< FAIL, RET: 18
me.txt(1091): 12-23 12:04:50.259 E/RENDER  (  612): MI_RENDER_GRAPHIC_ProcessPq[1404] Failed to _MI_RENDER_GRAPHIC_ParseGain
me.txt(1092): 12-23 12:04:50.259 E/RENDER  (  612): [ERROR]_MI_RENDER_GRAPHIC_ParseOffset[701] <<< FAIL, RET: 18
me.txt(1093): 12-23 12:04:50.259 E/RENDER  (  612): MI_RENDER_GRAPHIC_ProcessPq[1413] Failed to _MI_RENDER_GRAPHIC_ParseOffset
me.txt(1094): 12-23 12:04:50.259 E/RENDER  (  612): [ERROR]_MI_RENDER_GRAPHIC_ParseGain[584] <<< FAIL, RET: 18
